ID,Plaintext,Ciphertext,Length
77,"Depend upon it, there is nothing so unnatural as the commonplace.” I smiled and shook my head.","dnV5P/(NpNjiOOb^nF-#*,*feMTA;#OFiGi=ee3eBU/5I +**7;2r;1uPU;WyIr;=t<u<rK;5:J27<*xW;BvBQBuxA2;#2",94
78,The smoke and shouting were enough to shake nerves of steel.,"Cj2(-q,!eh(#*#X0eeiF:X(Npe<(eN6UTfUQBuyIriPUPy;;=uoUvhNE=uVk",60
79,It is _the_ precious stone.” “Not the Countess of Morcar’s blue carbuncle!” I ejaculated.,"d^nTn,OVjBu9*DD(VL#iY(qBX*,*Gv3Cg2(X:,-q3O=3.I;:u3:vByIu.(=Ey;50y6NIxp.GSI+5:QD7vjWi d<52",89
80,"When I came down, Mr.","*i!g5,L(U,:5rrG*:Orpk",21
81,"She has her freedom.” “What _can_ be the matter, then?","1,*,^_V,*D(p23Mi3*Kj(V,(MeeuUXI5r.V22=:XIbQB,;5:K5r;56",54
82,Together we rushed into the room.,"*/V,*Z1N,yV!V,C/t=N5rVWu5BWR;5Wx2",33
83,"Do you think it points to suicide?” “No, no, nothing of the kind.","d1v,*Y#13FeFeQV1D:;OZ(Bg-BP13NK#7=xIuWA;:=6IR;IB*u1x1k1kuW1x;5pW2",65
84,"But, after all, if he is satisfied, why should I put ideas in his head?” “Why, indeed?",";jIiDUV1s,(iUifDid-O8X(NUe8E=_O=eV=ejMe2M^RDIgyPgS1E;U;;K;=31N=uy7W:u1*K1rII5Zu1d=17Vd",86
85,His manner was not effusive.,"C!yx,Gifie1M(gAIGSPiKWyixup(",28
86,This is my point.” He placed his finger in the centre of the circle.,"C^U*,*Ye30*,*1V 1O=V8_ e-bBg-5(i=N6;1I2:=6xpUcZ3;;EWirW;5:PtUx;5:Wc(",68
87,"With your permission, Mr.",*i!Fxie-NKVB:;Ixt:PBuErpk,25
88,The marks are perfectly fresh.,*q(N^CO e9(vMeN6UGhIQU*k3t=.NR,30
89,"I threw myself, screaming, against the door, and dragged with my nails at the lock.","cG,,*_(!ANV31N oNNpe#Ke33=poeFin3OzjyV0V*.;tV:yP=;c#Br1FF6IuU2.1QBcFiBUu:=<WIK;5WJ4",83
90,"My pence were duly paid, and the rest is familiar to you.","dK#*90i4(i2,e3NpeIHND5,!eB Np=*7UVv:t=G:1QBuUvu1IYBrQ;=xR",57
91,He begged my father to let me live with him and he was very kind to me in his way.,"dA(iUi,#*IWNe,fi,NpViVBij0eVC,ZV,_O5N w5 M0UiB2EK5rRWN:UrMi;IIBQB5iKpP=A7;=*1rII#x",82
92,"Still, it might be worth while to call Holmes’ attention to it.",biZUFB^_(qe/em*Ze!UV*Fe5*FVBej:DIS1;:1u0U(6INWUR:Qr47NIK56ErR1R,63
93,Posted to-day in Gravesend by a man with a dirty thumb.,dN3N*;9VBipVMuN0qm(UisIZN^Yzy5BRZa1rWoNPBzg:Qi;IFB6=uTz,55
94,But you will find that all I say is really to the point.,"b1/e3#*8m,(isOOjM_3N1Oj1NK3RDIxIUSEWBuKgSW;a1IvQk;=uU2WR",56
95,On the inside of the flap he wrote “S.,"CV^-i,#nO,*YeI=i,*:Q;516:Ux;5E<B5ik51R",38
96,"Puzzle as I would, I could make nothing at all of what it meant.","bp,3i_U(-jM_#13FehV8X*ODDF((MjS8y1vgIr(tBW:y7:oUkuW1KgSE=NK1I*QR",64
97,The passage outside was empty.,dGe(AeIJXeoxHeN6UGuFUyu:U#I3dx,30
98,I thought of the salt that I have been working upon.,"B/5FW#i0DemVO_33mO,*Y3#X3(ruy;Ix;5;QIuKW;oU,Pi.Ar;2k",52
99,I only doubt—’ “‘The propriety of my leaving it.,"biF0n,5(-T!#--,5VbdX58g(r.k:yDu1W5:kciRE=2W#Ar1R",48
100,Simon in particular.,*nT:9-1U-0I2rW:QId<k,20
101,We shall soon see how he managed it.” He swung himself up onto the roof.,"2/V,*Zg#5qzUVFIO 3bi8opV,U-ezU/OjMO!*;XS;xr5URU5:QF31R=M;Nr;:5k;B.R;5Wxx",72
102,"I want to see whether the objections are fatal, or if they may be explained away.","dAM81nK,DNMN,*=V-jL4e9(g:CD-,*e3,ijOZ3pi.iQIR;Vi5uP;5Ej3I.IQUYXrErE;5=G=,iZ<W3g#x",81
103,"Off I set to him, and after much chaffering I got our stones at £ 1000 apiece.",CCgM1gV3Mqg2VX3/(#1exM*35V^fNpeUVZ3z((Ja=r5IR;:1QBa5rdd:XxPW1rEIyru.NgI1jjgB3(,78
104,"For Christ’s sake, don’t!” “Get back into your chair!” said Holmes sternly.","d!e2(, -I4VVp3VX5Z1P_5COV31Ke+4(b=V*#-.0t;uIXM12S8!1N0ZAWREyrdFl!X:p.*IuPSx",75
105,I’ve had enough of it.,"biYVKF,sVjxSM;ZikIIx1R",22
106,But then the impossibility of the thing obtruded itself upon me.,"CVgK(jJi8u3X#13e3(-T0;EY-i,*033RDIuP;51byI!rRE=uUuW1qtT31uP=T.:(",64
107,I was keenly on my guard against him.,*i3=poN9XNVgN!jvfi.iKpVS=.:=;QBFF6II2,37
108,This account of you we have from all quarters received.,dj0CVO^9TemV-OjMeiX5Y3;Z_(itIIZ2tIxEyiUXMEkBQrNQ56W3UM2,55
109,It was a wonderfully silent house.,Cy-30!O8DODgiMfi26iKgi.*ktk;WPIRu(,34
110,He gives me hopes.” Lestrade shrugged his shoulders.,2e8X((iN KVODM2m32 -eVq!- M1pN:UR*R=vu<*;tIiBIIuy7PR,52
111,He answered that the name was new to him.,"*i#*0ifi,Ae33M*8eEpeoUQ5P3;XIuU<*iKWV;=I2",41
112,More than once I have surprised her in tears.,29^UieV8=#NOjM(eB-p3e#p.UuQE7UrXM;tc;3;P1r5QR,45
113,Simon shook his head.,dnV=V<-OgUD:.;Rf;;;#2,21
114,"And yet, what could have happened?",;! oVjMNDZ3Mi^DNgSBOIiXI2tBXM;Z*vd,34
115,Here’s half a crown.,"Bg39(mVq, MvN;Q=FcOk",20
116,THE ADVENTURE OF THE NOBLE BACHELOR The Lord St.,"b,5oeNN_HGO)JvH5Z95tn<9Kh17F.91-WAEwr0lA<A6Uk7;R",48
117,The only remaining point was what they were burrowing for.,*a#1gVueei833MifiBg-F1peV8geN6U.kW3Frr:=6iKiXIu(iPUDSOW1xk,58
118,Simon.” Sherlock Holmes leaned back in his chair and laughed heartily.,"d!*nV8#s,IMUM*=V1P_58pj(, -7wee3B-0I2k=uPk_p.*IvQ30ZAW;;:XWg7WK;3;#6Wx",70
119,"Clair through the window, there is no human eye which could have seen the deed.","dj5,*0zemV8X*3iiD,pNVF(i,,*!K1i,*#XV*UnC<W;ty;;5iW2U;5v1Ik;TQiOiId:y7;oU5P;5:V2",79
120,"Oh, Heaven bless you!” “No more words.",25Fe#VQVVX5xj50m e3K1MoP0vuEyj1x:.U(7R,38
121,"And this stone?” “Ah, yes, I shall keep the stone.",Cg2e3#jvjMOOzDe#V1!ZO=3NgSBu;;Rvu161OIW;XSpVBuUu.(,50
122,Even my dread of losing a client could not restrain me from showing my impatience.,"CB!_-i5#1g(V-O,Up3qVGi8X*B!^9#1Y,YNnNNV0mpP:=c#BxWyW1Fci6:y7WyWNtFr*EkBuOW121bKi7(",82
123,We were sitting there in silence when the door opened and a young lady came in.,"Bi,LNs,FX5MIM80/V/5,*0UeBjEUi,,*F:BO,!e:UVv;;Ir;5v1rIv7UNP;5:xrJP3g7gEyrWZ=G*1k",79
124,"If he is violent, we shall take you away to your aunt’s at Harrow.","B-9-_(b;MNK#*spNKeh*jMO!eBjF,=eVxk;U;pEv61V;XS;oUxI-a;=xtgtuIKpQk(",66
125,"There are windows in it, of course?” “Yes, but very small ones.","2!-jMO5j3ueqOU0OX*YeBUi=K1i,M,,t5vgviW2N1r;1x:y6NIgN1DIMk;GSEvR",63
126,Let us now see the letter.,"*^C,,*jOgiy3mvIuWO;V;5WN5k",26
127,"I rushed forward, fell down, clapped my hand to my face, and became a piteous spectacle.",C^LCa(X^g9e9C5IMj_O5#*IMNV8/n*!g5jze5A#O8(5(r6u3E.#71OS:Or:<b3:=X7;=2EZUg703ZUFB5yIT3Xc(,88
128,"Those, I think, were the main points of my analysis.” Holmes grinned at the last item.","*^i2ne33M81i-qe/32E8AM5(-J1/UpV,*,!eri*OjYN6yUW;Ih1Vv;5:Fr2WuE=2g<kIR=47N1rS3gIuU<u152",86
129,"The Boscombe Pool is thickly wooded round, with just a fringe of grass and of reeds round the edge.","CK,,*IXVyjVYNp(f#(- 1(93y,31eIXV8XFN+B3(i we5ZYO,t50y2CUx.1Iu:?=(J3Wy71Uu0uIF.WiE=WKIQBxWVdWy7;5iB(",99
130,I know that James didn’t do it.,biK31I5q95_3UFv.pkUuKiZN::SI21R,31
131,Simon has not already arrived.,"dji9Ns,m3F(MU-0I2rXIkIQvZ=QrM2",30
132,"I rushed down the passage, through the door, and straight into the arms of Mr.","*iY(VM,*Z13#p3OIM,/5,*#XV*joxHe3Ug58(5(r6u3:OruUGuFU;ty;;5:xrg7;tF;IWR;5g7Ixpk",78
133,Monica in the Edgeware Road.,"dH5,A se3UiL1F4rG1ruU:i#vpY2",28
134,"It’s a cold night,” said Holmes.","2, -I4e^#1N *MJ26ug:.Br;I1X:p.*R",32
135,I believe that it was an excuse to move me from my room.” “Ah!,"V-3*/V5V-O,e VZeyd,p(A3i_3ej0D(r,r9UuK1I#IQiZuUR:fU*EkB2Wx2=W8",62
136,"It is a very sweet little problem, and I would not have missed it for a good deal.","Cn5X/9Va3i8xiemVGi8XiOIM,jX#e^B,C!O5j9(i261IFMk;VNW;tUcqvBg7Wiy7Wy;oUBu31IxrFEJ:#k",82
137,This is what he says: “‘MY DEAR MR.,"diX?(iV4sO,3Mi=(itII;iXI5;a81pFBhp4",35
138,"My niece, Mary, has deserted me.” “Deserted you?” “Yes.","2zV1X58*z+Vb,N^eq5fVD9ijC1Np=r3UpQ=;K:NP5B*x1*563Eyu1-R",55
139,We are but preventing her from injuring another.,"*,Gp#1N!i#(V,#1Bj,-d5,M!*gv0u:vM6W15r.J1ltW1Qy5k",48
140,"If I cannot persuade you to take a lenient view of the matter, Lord St.","b,5oeebMe3(-00301j9eh*ZNKesRe-G1L((.=rGSy:PuZUxIR;oUFvrPIAVE=uUGuP1k7;R",71
141,"If not, why should you come to consult me?” “I came to you, sir, because I heard of you from Mrs.","2UV-OX5YN9,(eyLDeUODK#*,L(V1,3D=Z#*,ZNKND-O5i^F(.=kIiR;RtBxI2*;=26tI*u1rG*;=xI;W1,GuUr5QBxEyEkB?R",97
142,But soon he found that that would not answer forever.,"*j,aV!=MGi8Xi_33M*IXO,U/Odqu;xr5Ey7;XIuKiy7Wyg6VrxvMk",53
143,"I am not hysterical, nor given to fainting.",G1BpOZUjgVFemBe253FVM.gBkIRuP:Q1kr1MrREF6WE,43
144,I called in the inspector and gave him into custody.,dX2T#BiUVjHNpVZCa1e3Ui8jL(rGS31ruUWT3RrQBgM;:16=duJx,52
145,What was he doing there at all?,"0m3M,,*Fg5,(A3M:XI#I5:=r;5vgIQ6",31
146,"Then he turned to me, tapped his forehead three times, shook his head solemnly, and hurried away.","dAM8iNVIMD!e Os,(iP/(eqU*jV*s,,a(iN o*jVZN!N*,U,t5r5;tvBR:U;Z*BIIxv5Z;tV;:N1uxAII5Z;.3S=g7;tr3g#x",97
147,"Holmes,” said he, “my wife was twenty before her father became a rich man.","BMVBVM,LDV,_OeV,aDNB!*fiz1NVe,NpOjqe/47N1;FB51:=UOiK;V6=,xv;PEK5r,G*gW:IGk",74
148,"His face set hard, and a baleful light sprang up in his grey eyes.","2D,8#(iUiK#p#O*F,Dqm5MIMD9VCO^4(gAIY*;N;QBg7g0Q(tW1u;cQ1T1rIIW(iOR",66
149,Kindly tell us now all about your connection with Mr.,*i31UFb!g*NK3XsemUF(5j^ND14Wc=5S;IkUQrwyIxt:.vdErUupk,53
150,Outside the wind still screamed and the rain splashed and pattered against the windows.,"2gI1e33=poN,^_-IM8(naUpV,*IM89,2e!2N1i,*DEdGuI*;5iWBuWrTvZ3g7;5WFrT<u3g7:K5vBFF6IuUU7OR",87
151,"The ring, after all, proves nothing.",G13F(j--jmV^feFieN6Urr1a5rQr:kMIkuWE,36
152,"Mother said he was quite right to make me swear, and that it was a sign of his passion.","BFxH(i(-gE9(A3i_3Npe9!O,ehVZ3#ieBT(AeVI4V,Gpy5rX:;U#IN;Ur;IR:oU*;VQ1QBuK1I#IFIWE=IIGuEk",87
153,"It must have bled considerably.” “Yes, it did.",d;3izzVb8seI=ZNj5jM3yV26:uIXM0vB26:Pwkx1-I1IB2,46
154,"There’s no vice in him.” “He is still with you, I presume?” “Yes, sir.","*EeqOU0Nq#(eX531e!2(i VbUV1eB,F(jeN6PVIkp:UW;:x1M1IuWrUuEy1rcNTNIgN1Ik",70
155,He thought no more of the matter until he heard in the evening of the tragedy that had occurred.,"d,Nb-sV_3N8o3e3(-F1j,,*1N9,eV!B5ebMe3(-,-#i*K-* M;RIuW=2vE=uUGuP;6W;U5QBW;5iMrrE=uUtF3=uK;ZEbtv2",96
156,She had written in a hurry and dipped her pen too deep.,"Gj5/*0-eV8/;NpNV59Ui0biisV,D5;ZiruP1rFuS=QBBb3;P:P;x:V2",55
157,Local aid is always either worthless or else biassed.,"dzf;eq,#(q,*FV,B,yAm(iIMmG?JQg:1IQ#yi;5r(6tNI.i6U!K52",53
158,As I came in he gave quite a jump in his chair and turned quickly to Miss Stoper.,"* Z,x1#*87;*8iTNpVp3(iUi-89eBTem-,Ui,L((QIrG*1r51oUN;UFDb1rIIdFrQBuS3iI_k;=Au;R*k",81
159,"He has been a disappointment to me, Mr.","*ijVZ3031/o=5M0D(MeoUXI,Pg:;Z2WTPIR:Upk",39
160,"George’s, was much addicted to opium.",*I/#*8b;sVdVfizj-w=(rVIiK:TIZBd3;=J;2,37
161,We rattled through an endless labyrinth of gas-lit streets until we emerged into Farrington Street.,"bj3,gG1VH#Bi8-,,!e:;(C,230EH(-31Ns,xjI,pVK-3NjbMe:U<uvBukIIQi7vuWw.WuE=gXrIuvNItIrVi*r316=#SW;.;tVR",99
162,"Clair by name, who appeared to have plenty of money.","d!-(-T0 emVZN,n/M-ij9iuVp^+FrzWZUiRgb#vBR;oUcPRE=2vx",52
163,But it is too heavy a task.,cf*M8nV/*=3idqu1I;;x;#4g;K4,27
164,"That will be next Monday.” “Oh, then we have three days yet,” said Holmes with a yawn.","Bp5M31(, -I4e^D(s5jV*jMei03e3VbsIF38iDe!i_N6KiWr,W#I47ax1K1uPiUXM;tV:aIOI1X:p.*IUugE-k",86
165,My mind was soon made up.,G5DMU/OfiIiNp=B7iK;xrG*;2,25
166,"It is likely that we should have gone on to Paris to-morrow, only that this good gentleman, Mr.","*i!MjB N/-=33M*8gegV-g*=9,ZU-!/emV8X(ei_3Njr,=3.I;WpP=uKiUuy7;oUEvErREQ;;Y2SO1.k;XIu;1xBi6vGrpk",95
